Rank,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
206,Lavoy Allen,42,21,6.5,3,5.9,49.8,0,0,0,0.6,0.9,69.2,2.5,4,6.5,1.4,0.3,0.8,0.7,11.6
207,Kirk Hinrich,44,27,6.5,2.4,6.5,36.4,1,3,33.6,0.8,1,73.3,0.4,1.6,1.9,2.5,0.9,0.2,1.2,6.3
208,Spencer Hawes,45,17.4,6.4,2.5,5.7,43,0.8,2.4,32.7,0.7,1.1,64.6,0.5,3.3,3.8,1.1,0.4,0.7,0.7,8.1
209,Kyle O'Quinn,40,17.9,6.4,2.6,5.2,49.3,0.3,1,28.2,1,1.3,76.5,0.8,3.4,4.2,1.4,0.7,1,1.2,9.5
210,Ben Gordon,47,14.5,6.3,2.3,5.3,43.4,0.6,1.7,37.5,1,1.2,86,0.1,1,1.1,0.9,0.3,0,0.9,4.5
210,Norris Cole,47,24.4,6.3,2.5,6.5,38.6,0.6,2.2,26.5,0.7,1,69.6,0.3,2,2.3,3.5,0.9,0.2,1.2,7.6
212,Aron Baynes,47,15.3,6.2,2.5,4.5,55.7,0,0.1,25,1.2,1.4,83.6,1.5,3,4.5,0.4,0.2,0.3,1,8.4
213,Alex Len,51,20.4,6.2,2.5,4.6,55.6,0,0.1,33.3,1.1,1.5,71.1,2,4,6,0.4,0.6,1.5,1,11.2
214,Charlie Villanueva,38,9.8,6.1,2.3,5.4,42.6,1.3,3.3,38.6,0.2,0.4,46.7,0.4,1.9,2.3,0.2,0.2,0.4,0.5,5.4
215,Vince Carter,44,16.6,6,2.2,6.5,33.4,1,3.7,27.3,0.7,0.9,76.9,0.4,1.5,1.9,1.3,0.7,0.2,0.7,5
216,Pero Antic,41,16.6,5.8,1.9,5,37.1,0.9,2.9,29.7,1.2,1.8,68,1,2,3,0.9,0.2,0.3,0.9,5.5
217,Jerami Grant,38,18.7,5.7,1.7,4.6,37.5,0.6,1.6,38.7,1.6,2.6,63.3,0.9,2.1,3,0.8,0.6,1.1,1,6.3
218,Caron Butler,50,21,5.6,2.1,5.4,38.4,0.9,2.9,31.7,0.6,0.7,88.2,0.4,2.5,2.8,0.8,0.5,0,0.6,5.8
219,Jason Thompson,51,24.7,5.6,2.3,4.9,46.8,0,0,0,1.1,1.7,62.5,1.6,4.7,6.3,0.9,0.3,0.6,1.1,9.5
220,Anthony Tolliver,48,15.1,5.6,1.8,4.2,43.6,1.2,3.1,38.9,0.8,0.9,80,0.5,2.1,2.6,0.6,0.3,0.2,0.7,6.1
221,Alexis Ajinca,39,12.5,5.6,2.2,3.9,57.2,0,0,0,1.2,1.4,80.4,1.5,2.8,4.3,0.4,0.2,0.6,0.8,8.4
222,Otto Porter,49,18,5.6,2.2,4.8,46,0.4,1.1,33.3,0.8,1.1,73.6,0.9,1.9,2.8,0.9,0.4,0.4,0.6,6.8
223,Quincy Acy,46,19.7,5.6,2.2,4.5,49.8,0.2,0.5,37.5,0.9,1.2,71.9,1.3,3.4,4.7,1,0.4,0.3,0.9,8.4
224,Quincy Pondexter,46,20.5,5.5,2,5.3,37.6,0.7,2.6,27.7,0.8,1.1,72.5,0.8,1.6,2.3,1,0.3,0.3,0.5,5.3
225,Ramon Sessions,36,17.8,5.4,1.8,5.1,34.4,0.2,0.8,21.4,1.8,2.4,72.7,0.4,1.6,1.9,2.7,0.4,0,1.4,5
226,Jae Crowder,52,15.9,5.4,2.1,4.7,44.4,0.6,1.8,32.3,0.7,0.9,76.1,0.7,1.6,2.3,0.9,0.8,0.3,0.5,6.4
227,Shane Larkin,50,22.1,5.4,2.1,5.1,41.4,0.5,1.6,34.2,0.6,0.7,81.1,0.3,1.6,2,2.5,1.3,0.1,1,7.1
228,Chris Andersen,36,20,5.3,2,3.1,62.8,0.1,0.1,75,1.3,2.1,62.7,1.1,3.8,4.9,0.7,0.5,1,0.5,9.9
229,Shaun Livingston,49,17.1,5.3,2.3,4.5,50.9,0,0,0,0.7,0.9,75.6,0.4,1.5,1.9,2.9,0.7,0.2,1.2,7.3
230,Jonas Jerebko,46,15.3,5.2,2,4.3,46,0.6,1.7,36.8,0.7,0.8,86.1,1,2.1,3.1,0.9,0.6,0.2,0.6,7
231,Anthony Bennett,52,16,5.2,2.2,5.2,42.1,0.1,0.3,29.4,0.8,1.2,62.9,0.9,2.9,3.8,0.8,0.4,0.3,0.6,6.6
232,Ronnie Price,41,22.9,5.2,1.8,5.2,35.2,0.8,2.6,29,0.8,1,79.5,0.4,1.1,1.6,3.7,1.5,0.1,1.2,7.3
233,Jon Leuer,48,14.6,5.2,2.2,4.9,45.1,0.1,0.5,28,0.6,1,59.2,0.8,2.9,3.7,0.9,0.3,0.2,0.6,6.5
234,Richard Jefferson,49,15.4,5.2,1.8,4,44.2,0.8,1.9,42.1,0.8,1.3,60.9,0.4,2,2.4,0.8,0.4,0.2,0.6,5.6
235,Kosta Koufos,52,16.3,5.1,2.2,4.2,51.9,0,0,0,0.8,1.2,68.9,1.3,3.6,4.9,0.4,0.4,0.9,0.9,8.5
236,Al-Farouq Aminu,49,16,5.1,1.9,4.4,43.3,0.4,1.6,26.6,0.9,1.2,72.9,1.2,2.6,3.8,0.7,0.8,0.8,0.6,7.8
237,Shabazz Napier,41,20.9,5.1,1.7,4.6,36.8,0.8,2.4,34.3,0.9,1.1,76.1,0.4,2,2.3,2.6,0.9,0.1,1.6,6.2
238,Thabo Sefolosha,45,19,5.1,1.9,4.5,42.4,0.4,1.4,29.2,0.8,1.1,74.5,1,3.3,4.3,1.5,1,0.5,0.7,8.8
239,CJ McCollum,38,12.5,5,1.7,4.4,39.8,0.8,2,41.3,0.7,1,70.3,0.2,0.8,1,0.8,0.5,0.1,0.5,3.9
240,Dante Cunningham,37,25.3,4.9,2.3,4.9,45.9,0,0.1,33.3,0.4,0.5,65,1,2.4,3.4,0.7,0.8,0.5,0.5,6.9
241,Shawn Marion,50,20,4.9,2.1,4.7,44.4,0.2,0.9,27.9,0.5,0.7,75.8,1.1,2.5,3.5,0.9,0.5,0.5,0.6,7
